WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000087381,urn:lsid:ipni.org:names:77374517-1,Lotus frailensis,A.A.Weller,Phytotaxa 736(3): 214. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087382,urn:lsid:ipni.org:names:77374518-1,Lotus pseudodumetorum,A.A.Weller,Phytotaxa 736(3): 217. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087383,urn:lsid:ipni.org:names:77374519-1,Lotus reyes-betancortii,A.A.Weller,"Phytotaxa 736(3): 220. 2025 [31 Dec 2025] , as 'reyes-betancorti' [epublished]",,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087384,urn:lsid:ipni.org:names:77374520-1,Lotus brezalis,A.A.Weller,Phytotaxa 736(3): 223. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087385,urn:lsid:ipni.org:names:77374521-1,Lotus dunkelii,A.A.Weller,Phytotaxa 736(3): 226. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1200116556,urn:lsid:ipni.org:names:77374522-1,Lotus campylocladus subsp. hierrensis,A.A.Weller,Phytotaxa 736(3): 229. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087386,urn:lsid:ipni.org:names:77374523-1,Polystichum caucasicum,Ekrt & S.Jess.,Phytotaxa 736(3): 280. 2025 [31 Dec 2025] [epublished],,,,"Armenia (Transcaucasus, Caucasus, Asia-Temperate);Gruziya (Transcaucasus, Caucasus, Asia-Temperate);Karacheyevo-Cherkessiya (North Caucasus, Caucasus, Asia-Temperate);Tadzhikistan (Middle Asia, Asia-Temperate);Turkey (Western Asia, Asia-Temperate);"
wfo-1000087397,urn:lsid:ipni.org:names:77374539-1,Sparganium × foliosum,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 21. 2023 [1 Jun 2023] [epublished],,,,"Central European Russia (Eastern Europe, Europe)"
wfo-1000087408,urn:lsid:ipni.org:names:77374654-1,Hypericum aladaglariense,"H.Duman, Özbek & Çakır",Nordic J. Bot. 2025(12)-e04878: 2. [15 Sep 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087453,urn:lsid:ipni.org:names:77374703-1,Arum milleyhanum,Yıldırım & Kayıkçı,Bağbahçe Bilim Derg. 12(1): 9. 2025 [30 Apr 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087455,urn:lsid:ipni.org:names:77374712-1,Allium kofinae,Kit Tan & Strid,Phytol. Balcan. 31: 105. 2025 [20 Oct 2025] [epublished],,,,"Greece (Southeastern Europe, Europe)"
wfo-1000087461,urn:lsid:ipni.org:names:77374732-1,Carex gator,"Lacroix-Car., Naczi, J.R.Starr & Lév.-Bourret",J. Syst. Evol. 64(x): [11 of 16]. 2026 [6 Jan 2026] [epublished],,,,"Florida (Southeastern U.S.A., Northern America);Georgia (Southeastern U.S.A., Northern America);"
wfo-1000087542,urn:lsid:ipni.org:names:77374822-1,Cynoglossum levanticum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 17. 2025 [31 Dec 2025] ",,,,"Lebanon (Lebanon-Syria, Western Asia, Asia-Temperate);Syria (Lebanon-Syria, Western Asia, Asia-Temperate);"
wfo-1000087543,urn:lsid:ipni.org:names:77374823-1,Cynoglossum cedrorum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 20. 2025 [31 Dec 2025] ",,,,"Lebanon (Lebanon-Syria, Western Asia, Asia-Temperate);Syria (Lebanon-Syria, Western Asia, Asia-Temperate);"
wfo-1000087544,urn:lsid:ipni.org:names:77374824-1,Cynoglossum abietinum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 23. 2025 [31 Dec 2025] ",,,,"Lebanon (Lebanon-Syria, Western Asia, Asia-Temperate)"
wfo-1200116685,urn:lsid:ipni.org:names:77375068-1,Micromeria hyssopifolia var. hirta,Webb & Berthel.,"Hist. Nat. Iles Canaries (Phytogr.) 3(2; 3): 72, t. 154. 1844 ",,,,"Canary Is. (Macaronesia, Africa)"
wfo-1200116578,urn:lsid:ipni.org:names:77375097-1,Corydalis wendelboi subsp. fragilis,"Olcay, Doğru-Koca & Kültür",Adansonia 47(21): 343. 2025 [24 Nov 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087627,urn:lsid:ipni.org:names:77375109-1,Allium cankiriense,Eker & B.Şahin,Ann. Bot. Fenn. 62(1): 246. 2025 [12 Sep 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1200116584,urn:lsid:ipni.org:names:77375114-1,Trigonella coerulescens subsp. harputensis,"M.Keskin, Sonay & Balos",Ann. Bot. Fenn. 62(1): 258. 2025 [25 Sep 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1200116589,urn:lsid:ipni.org:names:77375153-1,Lappa nemorosa var. microcephala,Erdner,Mitt. Bayer. Bot. Ges. 1: 373. 1904 ,,,,"Germany (Middle Europe, Europe)"
wfo-1000087713,urn:lsid:ipni.org:names:77375441-1,Ranunculus × limnophilus,"Z.Kaplan, Trávn., P.Koutecký & Prančl",Preslia 97: 654. 2025 [11 Dec 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000087728,urn:lsid:ipni.org:names:77375463-1,Stachys circassica,"Tuniyev, Timukhin & K.U.Aliev",Turczaninowia 28(4): 74. 2025 [30 Dec 2025] [epublished],,,,"Krasnodar (North Caucasus, Caucasus, Asia-Temperate)"
wfo-1000087770,urn:lsid:ipni.org:names:77375590-1,Allium elegantiflorum,"Eker, Bani & Sağıroğlu",Phytotaxa 739(1): 105. 2026 [23 Jan 2026] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087795,urn:lsid:ipni.org:names:77375732-1,Vincetoxicum samothracicum,"Goula, Doumas & Constantin.",PhytoKeys 270: 48. 2026 [28 Jan 2026] [english],,,,"Greece (Southeastern Europe, Europe)"
wfo-1000087937,urn:lsid:ipni.org:names:77375932-1,Stipa stevanoviciorum,Kabaš & D.Lakušić,Plants [Basel] 14(7)-1035: 6. 2025 [27 Mar 2025] [epublished],,,,"Serbia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1200116632,urn:lsid:ipni.org:names:77375935-1,Stipa stevanoviciorum subsp. pseudodasyphylla,Kabaš & D.Lakušić,Plants [Basel] 14(7)-1035: 13. 2025 [27 Mar 2025] [epublished],,,,"Serbia (Yugoslavia, Southeastern Europe, Europe)"
